snapshot_date,currency,is_trading_day,opening_position_usd,net_buys_usd,net_sells_usd,closing_position_usd,confirmed_trade_count
2023-01-02,GHS,True,-182300.0,0.0,18003.77,-200303.77,1
2023-01-02,KES,True,318750.0,404000.0,78499.6,644250.4,2
2023-01-02,NGN,True,248500.0,759500.0,105000.0,903000.0,4
2023-01-02,TZS,True,162800.0,109500.0,0.0,272300.0,1
2023-01-02,UGX,True,138400.0,0.0,0.0,138400.0,0
2023-01-02,XAF,True,207600.0,103000.0,247500.0,63100.0,2
2023-01-02,ZAR,True,-94200.0,1664497.66,50502.34,1519795.32,2
2023-01-02,ZMW,True,-77100.0,0.0,403002.11,-480102.11,1
2023-01-03,GHS,True,-200303.77,570004.82,53496.7,316204.35,5
2023-01-03,KES,True,644250.4,0.0,80500.16,563750.24,1
2023-01-03,NGN,True,903000.0,2692000.0,0.0,3595000.0,3
2023-01-03,TZS,True,272300.0,437500.02,438000.0,271800.02,3
2023-01-03,UGX,True,138400.0,381999.99,83500.0,436899.99,2
2023-01-03,XAF,True,63100.0,61000.03,199500.04,-75400.01,3
2023-01-03,ZAR,True,1519795.32,292001.67,0.0,1811796.99,1
2023-01-03,ZMW,True,-480102.11,1000000.0,652501.12,-132603.23,4
2023-01-04,GHS,True,316204.35,808000.52,130996.14,993208.73,5
2023-01-04,KES,True,563750.24,18000.05,236999.74,344750.55,2
2023-01-04,NGN,True,3595000.0,86000.09,178000.02,3503000.07,2
2023-01-04,TZS,True,271800.02,169500.01,62499.98,378800.05,2
2023-01-04,UGX,True,436899.99,151000.01,212000.0,375900.0,3
2023-01-04,XAF,True,-75400.01,191499.96,0.0,116099.95,1
2023-01-04,ZAR,True,1811796.99,260502.06,0.0,2072299.05,1
2023-01-04,ZMW,True,-132603.23,119498.47,0.0,-13104.76,1
2023-01-05,GHS,True,993208.73,0.0,113496.67,879712.06,1
2023-01-05,KES,True,344750.55,394500.28,0.0,739250.83,1
2023-01-05,NGN,True,3503000.07,1790000.0,86500.09,5206499.98,4
2023-01-05,TZS,True,378800.05,148499.97,1396000.03,-868700.01,5
2023-01-05,UGX,True,375900.0,0.0,454000.0,-78100.0,2
2023-01-05,XAF,True,116099.95,127999.93,0.0,244099.88,1
2023-01-05,ZAR,True,2072299.05,186000.27,44498.46,2213800.86,2
2023-01-05,ZMW,True,-13104.76,344500.94,567997.22,-236601.04,4
2023-01-06,GHS,True,879712.06,52497.42,251504.33,680705.15,2
2023-01-06,KES,True,739250.83,507500.32,369500.58,877250.57,3
2023-01-06,NGN,True,5206499.98,569999.98,408500.1,5367999.86,3
2023-01-06,TZS,True,-868700.01,63999.99,3825999.99,-4630700.01,5
2023-01-06,UGX,True,-78100.0,348499.98,318999.99,-48600.01,4
2023-01-06,XAF,True,244099.88,373000.01,0.0,617099.89,2
2023-01-06,ZAR,True,2213800.86,413497.4,256496.63,2370801.63,3
2023-01-06,ZMW,True,-236601.04,0.0,374001.84,-610602.88,2
2023-01-07,GHS,False,680705.15,0.0,0.0,680705.15,0
2023-01-07,KES,False,877250.57,0.0,0.0,877250.57,0
2023-01-07,NGN,False,5367999.86,0.0,0.0,5367999.86,0
2023-01-07,TZS,False,-4630700.01,0.0,0.0,-4630700.01,0
2023-01-07,UGX,False,-48600.01,0.0,0.0,-48600.01,0
2023-01-07,XAF,False,617099.89,0.0,0.0,617099.89,0
2023-01-07,ZAR,False,2370801.63,0.0,0.0,2370801.63,0
2023-01-07,ZMW,False,-610602.88,0.0,0.0,-610602.88,0
2023-01-08,GHS,False,680705.15,0.0,0.0,680705.15,0
2023-01-08,KES,False,877250.57,0.0,0.0,877250.57,0
2023-01-08,NGN,False,5367999.86,0.0,0.0,5367999.86,0
2023-01-08,TZS,False,-4630700.01,0.0,0.0,-4630700.01,0
2023-01-08,UGX,False,-48600.01,0.0,0.0,-48600.01,0
2023-01-08,XAF,False,617099.89,0.0,0.0,617099.89,0
2023-01-08,ZAR,False,2370801.63,0.0,0.0,2370801.63,0
2023-01-08,ZMW,False,-610602.88,0.0,0.0,-610602.88,0
2023-01-09,GHS,True,680705.15,33996.28,79496.35,635205.08,2
2023-01-09,KES,True,877250.57,0.0,222500.41,654750.16,2
2023-01-09,NGN,True,5367999.86,142000.08,1731999.88,3778000.06,5
2023-01-09,TZS,True,-4630700.01,115000.0,1175999.97,-5691699.98,4
2023-01-09,UGX,True,-48600.01,159000.0,752000.01,-641600.02,5
2023-01-09,XAF,True,617099.89,0.0,0.0,617099.89,0
2023-01-09,ZAR,True,2370801.63,0.0,0.0,2370801.63,0
2023-01-09,ZMW,True,-610602.88,0.0,0.0,-610602.88,0
2023-01-10,GHS,True,635205.08,142004.74,0.0,777209.82,1
2023-01-10,KES,True,654750.16,909000.36,0.0,1563750.52,1
2023-01-10,NGN,True,3778000.06,1034999.89,54500.04,4758499.91,4
2023-01-10,TZS,True,-5691699.98,1327999.99,293499.98,-4657199.97,4
2023-01-10,UGX,True,-641600.02,0.0,677500.0,-1319100.02,2
2023-01-10,XAF,True,617099.89,361000.1,0.0,978099.99,3
2023-01-10,ZAR,True,2370801.63,30000.48,0.0,2400802.11,1
2023-01-10,ZMW,True,-610602.88,0.0,0.0,-610602.88,0
2023-01-11,GHS,True,777209.82,113499.09,0.0,890708.91,1
2023-01-11,KES,True,1563750.52,0.0,1032999.69,530750.83,2
2023-01-11,NGN,True,4758499.91,324999.97,145500.0,4937999.88,3
2023-01-11,TZS,True,-4657199.97,251499.98,106500.01,-4512200.0,2
2023-01-11,UGX,True,-1319100.02,808500.02,339500.0,-850100.0,4
2023-01-11,XAF,True,978099.99,101999.95,1562499.81,-482399.87,5
2023-01-11,ZAR,True,2400802.11,0.0,1003499.66,1397302.45,4
2023-01-11,ZMW,True,-610602.88,1043500.11,201498.65,231398.58,5
2023-01-12,GHS,True,890708.91,0.0,0.0,890708.91,0
2023-01-12,KES,True,530750.83,49000.07,111999.81,467751.09,2
2023-01-12,NGN,True,4937999.88,216999.93,0.0,5154999.81,1
2023-01-12,TZS,True,-4512200.0,261999.99,997000.07,-5247200.08,5
2023-01-12,UGX,True,-850100.0,172000.01,0.0,-678099.99,1
2023-01-12,XAF,True,-482399.87,0.0,0.0,-482399.87,0
2023-01-12,ZAR,True,1397302.45,804506.82,641001.46,1560807.81,5
2023-01-12,ZMW,True,231398.58,0.0,135497.53,95901.05,1
2023-01-13,GHS,True,890708.91,0.0,86000.86,804708.05,1
2023-01-13,KES,True,467751.09,403999.84,1148500.2,-276749.27,3
2023-01-13,NGN,True,5154999.81,388999.94,1578999.9,3964999.85,4
2023-01-13,TZS,True,-5247200.08,182499.98,777999.98,-5842700.08,4
2023-01-13,UGX,True,-678099.99,300499.98,0.0,-377600.01,2
2023-01-13,XAF,True,-482399.87,620999.97,0.0,138600.1,3
2023-01-13,ZAR,True,1560807.81,105501.92,931999.5,734310.23,3
2023-01-13,ZMW,True,95901.05,0.0,399499.69,-303598.64,2
2023-01-14,GHS,False,804708.05,0.0,0.0,804708.05,0
2023-01-14,KES,False,-276749.27,0.0,0.0,-276749.27,0
2023-01-14,NGN,False,3964999.85,0.0,0.0,3964999.85,0
2023-01-14,TZS,False,-5842700.08,0.0,0.0,-5842700.08,0
2023-01-14,UGX,False,-377600.01,0.0,0.0,-377600.01,0
2023-01-14,XAF,False,138600.1,0.0,0.0,138600.1,0
2023-01-14,ZAR,False,734310.23,0.0,0.0,734310.23,0
2023-01-14,ZMW,False,-303598.64,0.0,0.0,-303598.64,0
2023-01-15,GHS,False,804708.05,0.0,0.0,804708.05,0
2023-01-15,KES,False,-276749.27,0.0,0.0,-276749.27,0
2023-01-15,NGN,False,3964999.85,0.0,0.0,3964999.85,0
2023-01-15,TZS,False,-5842700.08,0.0,0.0,-5842700.08,0
2023-01-15,UGX,False,-377600.01,0.0,0.0,-377600.01,0
2023-01-15,XAF,False,138600.1,0.0,0.0,138600.1,0
2023-01-15,ZAR,False,734310.23,0.0,0.0,734310.23,0
2023-01-15,ZMW,False,-303598.64,0.0,0.0,-303598.64,0
2023-01-16,GHS,True,804708.05,634503.76,858492.72,580719.09,5
2023-01-16,KES,True,-276749.27,379000.24,0.0,102250.97,1
2023-01-16,NGN,True,3964999.85,0.0,679499.93,3285499.92,1
2023-01-16,TZS,True,-5842700.08,66500.01,0.0,-5776200.07,1
2023-01-16,UGX,True,-377600.01,0.0,536499.99,-914100.0,2
2023-01-16,XAF,True,138600.1,649000.02,172499.98,615100.14,3
2023-01-16,ZAR,True,734310.23,0.0,0.0,734310.23,0
2023-01-16,ZMW,True,-303598.64,518996.7,352501.63,-137103.57,3
2023-01-17,GHS,True,580719.09,0.0,70497.11,510221.98,1
2023-01-17,KES,True,102250.97,0.0,780000.07,-677749.1,2
2023-01-17,NGN,True,3285499.92,0.0,624999.79,2660500.13,4
2023-01-17,TZS,True,-5776200.07,0.0,468499.99,-6244700.06,1
2023-01-17,UGX,True,-914100.0,0.0,471500.01,-1385600.01,2
2023-01-17,XAF,True,615100.14,137500.04,23000.08,729600.1,2
2023-01-17,ZAR,True,734310.23,0.0,0.0,734310.23,0
2023-01-17,ZMW,True,-137103.57,520498.11,2628499.89,-2245105.35,3
2023-01-18,GHS,True,510221.98,88501.85,0.0,598723.83,1
2023-01-18,KES,True,-677749.1,1841500.12,951499.93,212251.09,5
2023-01-18,NGN,True,2660500.13,148500.02,168000.05,2641000.1,2
2023-01-18,TZS,True,-6244700.06,380500.04,282500.0,-6146700.02,3
2023-01-18,UGX,True,-1385600.01,202500.01,169499.99,-1352599.99,4
2023-01-18,XAF,True,729600.1,101500.03,0.0,831100.13,2
2023-01-18,ZAR,True,734310.23,0.0,597497.23,136813.0,1
2023-01-18,ZMW,True,-2245105.35,425001.02,0.0,-1820104.33,2
2023-01-19,GHS,True,598723.83,0.0,45996.26,552727.57,1
2023-01-19,KES,True,212251.09,0.0,352999.83,-140748.74,1
2023-01-19,NGN,True,2641000.1,224000.06,17999.99,2847000.17,2
2023-01-19,TZS,True,-6146700.02,546500.02,0.0,-5600200.0,3
2023-01-19,UGX,True,-1352599.99,0.0,0.0,-1352599.99,0
2023-01-19,XAF,True,831100.13,437500.07,463499.94,805100.26,3
2023-01-19,ZAR,True,136813.0,82002.26,124998.52,93816.74,2
2023-01-19,ZMW,True,-1820104.33,189498.63,2664994.94,-4295600.64,5
2023-01-20,GHS,True,552727.57,765002.41,177999.04,1139730.94,2
2023-01-20,KES,True,-140748.74,574500.1,0.0,433751.36,2
2023-01-20,NGN,True,2847000.17,690500.04,435000.05,3102500.16,3
2023-01-20,TZS,True,-5600200.0,408500.01,73999.98,-5265699.97,2
2023-01-20,UGX,True,-1352599.99,0.0,288500.01,-1641100.0,1
2023-01-20,XAF,True,805100.26,977500.08,214499.97,1568100.37,5
2023-01-20,ZAR,True,93816.74,0.0,202497.44,-108680.7,1
2023-01-20,ZMW,True,-4295600.64,363002.3,138001.67,-4070600.01,2
2023-01-21,GHS,False,1139730.94,0.0,0.0,1139730.94,0
2023-01-21,KES,False,433751.36,0.0,0.0,433751.36,0
2023-01-21,NGN,False,3102500.16,0.0,0.0,3102500.16,0
2023-01-21,TZS,False,-5265699.97,0.0,0.0,-5265699.97,0
2023-01-21,UGX,False,-1641100.0,0.0,0.0,-1641100.0,0
2023-01-21,XAF,False,1568100.37,0.0,0.0,1568100.37,0
2023-01-21,ZAR,False,-108680.7,0.0,0.0,-108680.7,0
2023-01-21,ZMW,False,-4070600.01,0.0,0.0,-4070600.01,0
2023-01-22,GHS,False,1139730.94,0.0,0.0,1139730.94,0
2023-01-22,KES,False,433751.36,0.0,0.0,433751.36,0
2023-01-22,NGN,False,3102500.16,0.0,0.0,3102500.16,0
2023-01-22,TZS,False,-5265699.97,0.0,0.0,-5265699.97,0
2023-01-22,UGX,False,-1641100.0,0.0,0.0,-1641100.0,0
2023-01-22,XAF,False,1568100.37,0.0,0.0,1568100.37,0
2023-01-22,ZAR,False,-108680.7,0.0,0.0,-108680.7,0
2023-01-22,ZMW,False,-4070600.01,0.0,0.0,-4070600.01,0
2023-01-23,GHS,True,1139730.94,839495.77,2326004.77,-346778.06,5
2023-01-23,KES,True,433751.36,974499.89,293999.91,1114251.34,3
2023-01-23,NGN,True,3102500.16,481000.05,111500.04,3472000.17,3
2023-01-23,TZS,True,-5265699.97,0.0,46500.01,-5312199.98,1
2023-01-23,UGX,True,-1641100.0,0.0,0.0,-1641100.0,0
2023-01-23,XAF,True,1568100.37,0.0,113000.05,1455100.32,2
2023-01-23,ZAR,True,-108680.7,642500.42,712003.89,-178184.17,4
2023-01-23,ZMW,True,-4070600.01,1029498.34,0.0,-3041101.67,3
2023-01-24,GHS,True,-346778.06,0.0,0.0,-346778.06,0
2023-01-24,KES,True,1114251.34,317000.32,154000.19,1277251.47,3
2023-01-24,NGN,True,3472000.17,471500.02,1028499.99,2915000.2,3
2023-01-24,TZS,True,-5312199.98,0.0,0.0,-5312199.98,0
2023-01-24,UGX,True,-1641100.0,0.0,139999.99,-1781099.99,1
2023-01-24,XAF,True,1455100.32,783499.89,129500.05,2109100.16,3
2023-01-24,ZAR,True,-178184.17,108500.57,169999.59,-239683.19,2
2023-01-24,ZMW,True,-3041101.67,1216499.21,65997.84,-1890600.3,3
2023-01-25,GHS,True,-346778.06,0.0,190996.85,-537774.91,1
2023-01-25,KES,True,1277251.47,155999.65,141499.95,1291751.17,2
2023-01-25,NGN,True,2915000.2,536000.04,0.0,3451000.24,1
2023-01-25,TZS,True,-5312199.98,721000.01,203499.99,-4794699.96,3
2023-01-25,UGX,True,-1781099.99,947999.99,37500.0,-870600.0,4
